Двигатель;Номер детали;Исходное (обрезанное) значение;Что делать
NTE200;3086362;"01T2-2,96T2";Открыть деталь 3086362 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3088389;"96T2-11,01T";Открыть деталь 3088389 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3089019;"02T0-8,02T0";Открыть деталь 3089019 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3089240;"02T0-4,05T5";Открыть деталь 3089240 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3093957;"TSB230131,0";Открыть деталь 3093957 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3171818;"04T7-5,TSB2";Открыть деталь 3171818 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3175239;"01T15-1,TSB";Открыть деталь 3175239 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3200287;"97T9-3,93T1";Открыть деталь 3200287 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3201128;"08T3-2,05T6";Открыть деталь 3201128 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3410273;"99T0-4,00T0";Открыть деталь 3410273 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3522904;"02T10-5,TSB";Открыть деталь 3522904 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3609817;"TSB210001,0";Открыть деталь 3609817 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3627961;"02T0-8,02T0";Открыть деталь 3627961 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3628553;"04T19-2,03T";Открыть деталь 3628553 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3628554;"02T7-3,03T1";Открыть деталь 3628554 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3628585;"03T19-30,04";Открыть деталь 3628585 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3628902;"99T19-8,00T";Открыть деталь 3628902 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3630740;"97T0-5,02T0";Открыть деталь 3630740 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3636638;"TSB220146,T";Открыть деталь 3636638 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3637970;"TSB240001,T";Открыть деталь 3637970 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3678606;"02T0-8,TSB2";Открыть деталь 3678606 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3678611;"TSB230131,0";Открыть деталь 3678611 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3678786;"05T10-1,05T";Открыть деталь 3678786 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3678873;"TSB250148,0";Открыть деталь 3678873 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3678921;"05T5-19,02T";Открыть деталь 3678921 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3865312;"01T0-12,96T";Открыть деталь 3865312 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3900589;"04T5-7,02T0";Открыть деталь 3900589 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3900626;"TSB230131,0";Открыть деталь 3900626 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3900629;"TSB230213,0";Открыть деталь 3900629 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3900630;"TSB230176,0";Открыть деталь 3900630 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3903464;"TSB230131,9";Открыть деталь 3903464 на quickserve.cummins.com — там указан полный список тем/бюллетеней
