Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
15255318,HOSE ASSY,HOSE ASSY,,676.58,,,TR100A,120-0110
15255345,,HOSE ASSY,软管总成,,,,TR100A,220-0010
15255422,,FILTER,软管总成,,,,TR100A,230-0041
15255431,A-FRAME ASSY,A EF A-FRAME ASSEMBLY,,83281.92,Задний мост,,TR100A,160-0030
15255442,ELBOW,ELBOW,弯头,40.77,Гидравлическая система,,TR100A,120-0190 230-0020 230-0021 250-0020
15255483,TUBE ASSY,TUBE ASSY,管总成,107.93,Гидравлическая система,,TR100A,230-0020
15255584,BRACET,BRACKET,电磁阀支架,11.99,,,TR100A,120-0190
15255611,REDUCER,ADAPTOR,变径接头,261.44,Рулевое управление,,TR100A,220-0010
15255616,PRESSURE CHECK DECAL,DECAL-PRESSURE TEST,压力测试贴片,10.79,,,TR100A,290-0010
15255885,DECAL-HAND LAMP,DECAL HAND LAMP,手灯贴片,1.2,,,TR100A,290-0010
15255890,,ELBOW,弯头,,,,TR100A,220-0010
15255961,VALVE STR,VALVE ASSY-STEERING,转向阀总成,17432.3,Рулевое управление,,TR100A,220-0090 220-0230
15256094,EARTH,CABLE A SSY,电缆总成,124.72,Электрооборудование,,TR100A,190-0070
15256096,HARNESS,CABLE A SSY,电缆总成,120.04,,,TR100A,190-0070
15256097,HARNESS-BATTERY,CABLE A SSY,电缆总成,86.35,,,TR100A,190-0070
15256201,DISC DRIVE WHEEL,DISC DRIVER,,44251.08,Тормозная система,,TR100A,165-0030
15256374,,ADAPTOR,接头,,,,TR100A,250-0020
15256375,,ADAPTOR,接头,,,,TR100A,250-0020
15256376,,ADAPTOR,接头,,,,TR100A,250-0020
15256377,,ADAPTOR,接头,,,,TR100A,250-0020
15256378,,TEE,三通,,,,TR100A,250-0020
15256379,,ELBOW,弯头,,,,TR100A,250-0020
